AreaCode,AreaName,MethodCode,TravelMethod,Observation,PercentOfArea,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000140,South Holland,1,Work mainly at or from home,7959,8.37,532780,324067,95119,40703,126.8,22776,55
E07000141,South Kesteven,1,Work mainly at or from home,19428,13.55,499893,329594,143400,62850,152.1,30360,60
E07000142,West Lindsey,1,Work mainly at or from home,10950,11.51,501339,389522,95152,42345,82.3,21492,54
E07000143,Breckland,1,Work mainly at or from home,14404,10.18,592273,302678,141478,60359,108.4,32904,83
E07000144,Broadland,1,Work mainly at or from home,18934,14.37,623735,316663,131722,57760,238.6,28309,42
E07000145,Great Yarmouth,1,Work mainly at or from home,6813,6.83,647815,311075,99743,44544,572.2,27549,176
E07000146,King's Lynn and West Norfolk,1,Work mainly at or from home,14162,9.18,566910,317216,154318,67464,107.2,37802,136
E07000147,North Norfolk,1,Work mainly at or from home,10106,9.81,613546,332832,102988,48374,106.6,26894,82
E07000148,Norwich,1,Work mainly at or from home,19468,13.53,622020,308886,143926,64459,3688.2,35477,202
E07000149,South Norfolk,1,Work mainly at or from home,21339,15.03,622377,295780,141948,61381,156.4,29664,61
E07000163,Craven,1,Work mainly at or from home,8833,15.52,388715,464893,56923,26069,48.4,11672,19
E07000164,Hambleton,1,Work mainly at or from home,13303,14.67,444420,488149,90691,40802,69.2,18471,25
E07000165,Harrogate,1,Work mainly at or from home,28233,17.36,426573,463534,162666,71169,124.4,30412,64
E07000166,Richmondshire,1,Work mainly at or from home,6700,13.46,404370,496225,49764,20944,37.7,9611,13
E07000167,Ryedale,1,Work mainly at or from home,7609,13.91,475009,480011,54709,24714,36.3,11912,23
E07000168,Scarborough,1,Work mainly at or from home,8837,8.13,488815,497619,108736,51123,133.2,27877,149
E07000169,Selby,1,Work mainly at or from home,14331,15.58,457071,432688,91990,39560,153.5,18132,36
E07000170,Ashfield,1,Work mainly at or from home,11460,9.07,449768,355201,126305,54508,1152.8,30990,123
E07000171,Bassetlaw,1,Work mainly at or from home,10741,9.12,469431,382275,117804,51458,184.7,27365,73
E07000172,Broxtowe,1,Work mainly at or from home,17302,15.6,449657,342283,110944,48361,1385,24171,51
E07000173,Gedling,1,Work mainly at or from home,17220,14.69,459166,348277,117258,51551,977.4,25400,59
E07000174,Mansfield,1,Work mainly at or from home,8757,7.93,455327,364075,110486,48030,1440.2,27620,105
E07000175,Newark and Sherwood,1,Work mainly at or from home,14786,12.03,472378,359080,122954,53331,188.8,27129,98
E07000176,Rushcliffe,1,Work mainly at or from home,24680,20.73,464834,334124,119078,49883,291,20758,21
E07000177,Cherwell,1,Work mainly at or from home,27343,16.98,449860,229130,161013,65894,273.5,30241,95
E07000178,Oxford,1,Work mainly at or from home,28427,17.54,452441,206500,162039,55238,3553,26407,146
E07000179,South Oxfordshire,1,Work mainly at or from home,32709,21.94,464397,193175,149080,61497,219.7,25422,45
E07000180,Vale of White Horse,1,Work mainly at or from home,29239,21.05,438787,192976,138910,57498,240.5,24064,49
E07000181,West Oxfordshire,1,Work mainly at or from home,20629,18.06,434067,215553,114233,47981,159.9,20816,40
E07000187,Mendip,1,Work mainly at or from home,17105,14.73,362056,144991,116090,50294,157,24434,61
E07000188,Sedgemoor,1,Work mainly at or from home,13532,10.8,333465,143276,125354,53904,222.2,28315,91
E07000189,South Somerset,1,Work mainly at or from home,20337,11.78,350246,121192,172675,75936,180,37615,104
E07000192,Cannock Chase,1,Work mainly at or from home,9529,9.48,401418,312745,100529,43457,1274.3,23653,65
E07000193,East Staffordshire,1,Work mainly at or from home,13235,10.67,412763,329519,124019,51293,320.5,25975,94
E07000194,Lichfield,1,Work mainly at or from home,15959,14.99,413297,310036,106439,45630,321.3,21899,60
E07000195,Newcastle-under-Lyme,1,Work mainly at or from home,13009,10.55,378749,344081,123306,53423,584.5,28440,80
